Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-VRM-IndustryOccupationCodingHeader.json	2101	2	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	126	152	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-VRM-IndustryOccupationCodingMessage.json	3195	3	0	26	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	299	333	0	0	0	6	0	4
fsh-generated/resources/StructureDefinition-VRM-IndustryOccupationCodingUpdateHeader.json	2139	2	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	129	154	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-VRM-IndustryOccupationCodingUpdateMessage.json	3435	3	0	26	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	369	254	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-VRM-MessageBundle.json	645	2	0	5	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	115	146	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-VRM-MessageParameters.json	8121	3	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	219	196	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-VRM-Outcome.json	659	3	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	60	132	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-VRM-StatusHeader.json	2246	2	0	20	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	126	187	0	1	0	6	1	0
fsh-generated/resources/StructureDefinition-VRM-StatusMessage.json	2610	3	0	22	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	243	272	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-VRM-StatusParameters.json	9136	3	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	286	150	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-VRM-SubmissionHeader.json	1677	3	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	136	113	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-VRM-UpdateHeader.json	1653	3	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	116	115	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-VRM-VoidHeader.json	1650	2	0	15	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	121	142	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-VRM-VoidMessage.json	2643	3	0	30	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	245	252	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-VRM-VoidParameters.json	9203	3	0	6	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	246	146	0	0	0	21	1	3
fsh-generated/resources/ValueSet-Payload-version-vs.json	498	3	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	9	7900	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VRM-AcknowledgementHeaderURI-vs.json	841	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	314	0	0	0	0	0	0
